違反槍砲彈藥刀械管制條例概況,發生數(件) / 新北市 ,發生數(件) / 臺北市 ,發生數(件) / 桃園市 ,發生數(件) / 臺中市 ,發生數(件) / 臺南市 ,發生數(件) / 高雄市 ,發生數(件) / 臺灣省 ,發生數(件) / 福建省 ,破獲數(件) / 新北市 ,破獲數(件) / 臺北市 ,破獲數(件) / 桃園市 ,破獲數(件) / 臺中市 ,破獲數(件) / 臺南市 ,破獲數(件) / 高雄市 ,破獲數(件) / 臺灣省 ,破獲數(件) / 福建省 
97年 2月,27,11,24,15,13,12,136,         －,21,21,20,16,15,15,121,         －
97年 3月,38,11,24,19,8,24,155,2,27,29,16,25,7,23,130,2
97年 4月,24,10,23,10,9,11,111,4,15,22,18,17,7,10,99,4
97年 5月,35,9,18,12,16,22,151,         －,32,15,13,17,14,27,139,         －
97年 6月,16,11,13,10,12,13,95,         －,15,13,9,14,14,13,89,         －
97年 7月,22,11,14,16,9,17,108,         －,17,18,13,14,9,19,104,         －
97年 8月,24,3,11,10,10,12,106,2,18,12,10,13,10,12,96,2
97年 9月,26,6,16,13,12,9,120,         －,20,11,15,13,11,11,107,         －
97年 10月,25,3,8,9,10,12,105,         －,22,8,6,13,9,12,97,         －
97年 11月,12,8,10,10,9,9,79,         －,9,10,10,9,7,12,77,         －
97年 12月,12,6,9,11,1,13,58,         －,7,8,7,13,2,12,56,         －
98年,226,94,165,127,90,155,"1,164",         －,190,158,140,171,91,141,"1,076",         －
98年 1月,23,11,18,17,6,17,121,         －,21,13,16,22,6,17,115,         －
98年 2月,25,11,31,9,9,14,140,         －,18,25,27,17,11,8,123,         －
98年 3月,13,8,12,6,13,14,105,         －,13,11,10,10,14,10,101,         －
98年 4月,21,10,8,8,2,18,82,         －,18,16,6,10,         －,20,73,         －
98年 5月,15,8,7,11,10,12,80,         －,9,17,5,17,11,8,73,         －
98年 6月,20,4,15,11,6,12,94,         －,15,8,13,16,5,14,87,         －
98年 7月,17,5,13,12,6,12,101,         －,13,12,11,18,6,11,94,         －
98年 8月,16,10,15,9,5,7,89,         －,17,12,11,11,5,7,85,         －
98年 9月,19,6,13,12,11,12,110,         －,16,8,12,17,11,10,105,         －
98年 10月,17,7,8,8,8,10,68,         －,14,9,8,8,9,7,68,         －
98年 11月,18,12,13,11,7,7,84,         －,16,19,11,12,4,9,72,         －
98年 12月,22,2,12,13,7,20,90,         －,20,8,10,13,9,20,80,         －
99年,206,70,164,125,101,163,"1,160",2,184,96,145,148,95,173,"1,092",2
99年 1月,14,5,9,6,3,10,67,         －,15,8,7,6,4,6,62,         －
99年 2月,42,16,41,20,16,30,220,1,37,18,43,23,15,34,218,1
99年 3月,11,7,6,8,8,18,94,1,9,8,3,10,6,15,94,1
99年 4月,14,9,9,8,11,9,86,         －,12,11,9,9,10,9,81,         －
99年 5月,12,4,14,13,5,13,93,         －,7,8,11,18,6,15,83,         －
